0,14
0,19
0,23
1,15
1,19
1,24
2,16
2,20
2,23
3,17
3,20
3,24
4,14
4,21
4,25
5,15
5,21
5,26
6,16
6,22
6,25
7,17
7,22
7,26
8,18
8,19
8,20
8,23
8,24
9,18
9,21
9,22
9,25
9,26
10,14
10,15
10,18
10,19
10,21
11,16
11,17
11,18
11,20
11,22
12,14
12,16
12,18
12,23
12,25
13,15
13,17
13,18
13,24
13,26
0,30
0,34
0,41
1,33
1,42
1,47
2,28
2,39
2,44
3,39
3,44
3,48
4,29
4,32
4,35
5,32
5,35
5,49
6,27
6,38
6,45
7,38
7,45
7,50
27,28
27,30
29,30
31,32
31,34
33,34
35,36
36,37
37,38
39,40
40,41
41,42
43,44
43,46
45,46
47,48
49,50
48,49
