Compounds,Node Features,Edge Features,Edge Indices,Energy Input Features,Energy Output Features,Uncertain Features,Num. Fixed Atoms,Num. Placed H Atoms
H_sim_30_by_30_1_0,"[[[0.3002, 0.1797, -0.0541, 1, 1, 0, 1], [-0.3002, -0.1797, 0.0541, 1, 1, 0, 1]]]","[[[0.7080647992945279, 0.0]]]","[(0, 1)]",[0],[-31.911283967310226],[0],[0],2
H_sim_30_by_30_1_1,"[[[-0.03395, 0.19125, 0.29595, 1, 1, 0, 1], [0.03395, -0.19125, -0.29595, 1, 1, 0, 1]]]","[[[0.7079987782475334, 0.0]]]","[(0, 1)]",[0],[-31.910920295871307],[0],[0],2
H_sim_30_by_30_2_0,"[[[1.301325, 9.74955, -5.374875, 1, 1, 0, 1], [1.708925, 9.21265, -5.158475, 1, 1, 0, 1], [-1.455375, -9.82835, 5.314025, 1, 1, 0, 1], [-1.554875, -9.13385, 5.219325, 1, 1, 0, 1]]]","[[[0.7079748088738745, 0.0], [21.83982022911361, 0.0], [22.47545653618631, 0.0], [21.329444098006867, 0.0], [21.960094074024365, 0.0], [0.7079538049901275, 0.0]]]","[(0, 1), (0, 3), (0, 2), (1, 3), (1, 2), (2, 3)]",[0],[-63.82636987388562],[0],[0],4
H_sim_30_by_30_2_1,"[[[11.9274, -3.39965, -1.816575, 1, 1, 0, 1], [12.0342, -3.11625, -2.456475, 1, 1, 0, 1], [-12.1688, 3.00565, 1.974325, 1, 1, 0, 1], [-11.7928, 3.51025, 2.298725, 1, 1, 0, 1]]]","[[[0.7079504290555944, 0.0], [25.04656264120887, 0.0], [25.21954887265036, 0.0], [25.18428792501388, 0.0], [25.35537136880468, 0.0], [0.707977768012527, 0.0]]]","[(0, 1), (0, 3), (0, 2), (1, 3), (1, 2), (2, 3)]",[0],[-63.82518181426684],[0],[0],4
H_sim_30_by_30_3_0,"[[[-16.49185, 4.51505, 1.5637, 1, 1, 0, 1], [-16.78305, 4.04425, 2.0051, 1, 1, 0, 1], [12.01985, -5.34025, -2.8723, 1, 1, 0, 1], [12.43725, -5.89515, -2.7338, 1, 1, 0, 1], [4.42105, 1.26165, 1.3641, 1, 1, 0, 1], [4.39675, 1.41445, 0.6732, 1, 1, 0, 1]]]","[[[0.7080141524009246, 0.0], [21.1362324119035, 0.0], [21.16539246340592, 0.0], [30.491344197657142, 0.0], [31.044058966249885, 0.0], [21.383959728965074, 0.0], [21.39550421396981, 0.0], [30.683300334546804, 0.0], [31.226187369898366, 0.0], [0.708038854866031, 0.0], [10.78462776130915, 0.0], [10.921260458848145, 0.0], [11.388043792065432, 0.0], [11.500957920538621, 0.0], [0.7080121044163017, 0.0]]]","[(0, 1), (0, 5), (0, 4), (0, 2), (0, 3), (1, 5), (1, 4), (1, 2), (1, 3), (2, 3), (2, 5), (2, 4), (3, 5), (3, 4), (4, 5)]",[0],[-95.74873376682811],[0],[0],6
H_sim_30_by_30_3_1,"[[[3.9238833333, 7.5346666667, -14.21365, 1, 1, 0, 1], [3.8488833333, 8.1041666667, -13.79985, 1, 1, 0, 1], [3.8873833333, -3.8994333333, 9.03565, 1, 1, 0, 1], [3.5949833333, -3.7065333333, 9.65095, 1, 1, 0, 1], [-7.3992166667, -3.9358333333, 4.40525, 1, 1, 0, 1], [-7.8559166667, -4.0970333333, 4.92165, 1, 1, 0, 1]]]","[[[0.7079446941675598, 0.0], [24.626173090230644, 0.0], [25.3025658584263, 0.0], [25.908877350244257, 0.0], [26.381658132308516, 0.0], [24.554165015736128, 0.0], [25.226299505278217, 0.0], [25.79821612941484, 0.0], [26.25827717768247, 0.0], [0.7080270192584456, 0.0], [12.199560183875484, 0.0], [12.444642889613183, 0.0], [12.183693225783387, 0.0], [12.395236163542831, 0.0], [0.7079754868637752, 0.0]]]","[(0, 1), (0, 4), (0, 5), (0, 2), (0, 3), (1, 4), (1, 5), (1, 2), (1, 3), (2, 3), (2, 4), (2, 5), (3, 4), (3, 5), (4, 5)]",[0],[-95.74880398128398],[0],[0],6
H_sim_30_by_30_4_0,"[[[4.16735, -3.2048, -2.4617875, 1, 1, 0, 1], [3.46585, -3.1089, -2.4685875, 1, 1, 0, 1], [-2.80765, 2.4775, -10.0378875, 1, 1, 0, 1], [-3.33205, 2.229, -9.6322875, 1, 1, 0, 1], [2.94285, -1.5958, -4.4459875, 1, 1, 0, 1], [3.22685, -1.2585, -4.9998875, 1, 1, 0, 1], [-3.78965, 2.2269, 16.6717125, 1, 1, 0, 1], [-3.87355, 2.2346, 17.3747125, 1, 1, 0, 1]]]","[[[0.708057412926381, 0.0], [2.8329014966991, 0.0], [3.3338529586650942, 0.0], [11.71252547702672, 0.0], [11.761651648471826, 0.0], [21.422138925420125, 0.0], [2.544230997767302, 0.0], [3.1446113988854014, 0.0], [11.22600634731693, 0.0], [11.307474063644808, 0.0], [21.15334786694532, 0.0], [0.7079964477312014, 0.0], [8.703696355572156, 0.0], [8.996075185879674, 0.0], [26.728820709488854, 0.0], [8.75448200752049, 0.0], [8.994507920948205, 0.0], [26.307980123339004, 0.0], [0.7079777538877897, 0.0], [22.492150738201985, 0.0], [23.04425160359954, 0.0], [0.7080307196725288, 0.0], [21.821465108924283, 0.0], [22.084607250752732, 0.0], [23.179262749492274, 0.0], [23.732681115499783, 0.0], [27.012428669225578, 0.0]]]","[(0, 1), (0, 4), (0, 5), (0, 3), (0, 2), (0, 6), (1, 4), (1, 5), (1, 3), (1, 2), (1, 6), (2, 3), (2, 5), (2, 4), (2, 6), (3, 5), (3, 4), (3, 6), (4, 5), (4, 6), (5, 6), (6, 7), (1, 7), (0, 7), (4, 7), (5, 7), (3, 7)]",[0],[-127.6657059793883],[0],[0],8
H_sim_30_by_30_4_1,"[[[5.78105, 6.0981125, -11.356175, 1, 1, 0, 1], [5.08915, 6.0984125, -11.506475, 1, 1, 0, 1], [7.41885, 7.1329125, -0.347775, 1, 1, 0, 1], [7.10945, 7.0711125, -0.981575, 1, 1, 0, 1], [-9.81045, -20.4796875, 10.221425, 1, 1, 0, 1], [-10.06775, -19.8247875, 10.142425, 1, 1, 0, 1], [-3.09475, 6.9330125, 1.800025, 1, 1, 0, 1], [-2.42555, 6.9709125, 2.028125, 1, 1, 0, 1]]]","[[[0.7080365739140876, 0.0], [10.504460991407413, 0.0], [11.177569970257398, 0.0], [15.72417088084456, 0.0], [15.89221451182937, 0.0], [37.22057237348722, 0.0], [10.761100194218061, 0.0], [11.446146863901406, 0.0], [15.505398076153996, 0.0], [15.644031405619206, 0.0], [37.01916783316448, 0.0], [0.7079901411742963, 0.0], [10.128344196856661, 0.0], [10.732604055400534, 0.0], [33.80152459416587, 0.0], [9.999227926695141, 0.0], [10.577432004508466, 0.0], [33.796286965434525, 0.0], [0.708052469807148, 0.0], [29.452957843652985, 0.0], [29.583819112143043, 0.0], [34.21749268502881, 0.0], [34.22005911581685, 0.0], [37.423189577854, 0.0], [28.882489982686742, 0.0], [29.0216233836083, 0.0], [0.7080216522112865, 0.0]]]","[(0, 1), (0, 3), (0, 2), (0, 7), (0, 6), (0, 5), (1, 3), (1, 2), (1, 7), (1, 6), (1, 5), (2, 3), (2, 7), (2, 6), (2, 5), (3, 7), (3, 6), (3, 5), (4, 5), (4, 6), (4, 7), (3, 4), (2, 4), (1, 4), (5, 6), (5, 7), (6, 7)]",[0],[-127.67087446850006],[0],[0],8
H_sim_30_by_30_5_0,"[[[-8.85828, -7.76315, -7.42471, 1, 1, 0, 1], [-9.27878, -7.29295, -7.10321, 1, 1, 0, 1], [6.47322, 9.26045, 1.03989, 1, 1, 0, 1], [6.52752, 8.59385, 0.80759, 1, 1, 0, 1], [11.67632, -11.05755, 1.44229, 1, 1, 0, 1], [11.28892, -10.63445, 1.02719, 1, 1, 0, 1], [-3.33628, 10.49675, -2.97601, 1, 1, 0, 1], [-3.49278, 10.25025, -3.62091, 1, 1, 0, 1], [-5.39438, -1.24255, 8.52379, 1, 1, 0, 1], [-5.60548, -0.61065, 8.28409, 1, 1, 0, 1]]]","[[[0.7080046186290025, 0.0], [17.564320696514283, 0.0], [17.57473982225626, 0.0], [19.176549852619477, 0.0], [19.5884497523413, 0.0], [22.03607599233584, 0.0], [17.1730972008546, 0.0], [17.20171597602983, 0.0], [18.798087017832426, 0.0], [19.204700262696107, 0.0], [22.367371542047582, 0.0], [0.7080023587531337, 0.0], [10.67155943384096, 0.0], [11.046443621365205, 0.0], [17.199187263937795, 0.0], [17.52602915580138, 0.0], [20.46944488231178, 0.0], [10.734580001565035, 0.0], [11.07978724073707, 0.0], [16.96556988432749, 0.0], [17.275016845433175, 0.0], [19.810266909105486, 0.0], [0.7080963070091543, 0.0], [20.324628102132646, 0.0], [20.925837276916788, 0.0], [20.97749506900192, 0.0], [21.321551493500657, 0.0], [22.608550540005876, 0.0], [20.56062489468644, 0.0], [20.941822160690794, 0.0], [0.7079198471578547, 0.0], [15.978531077980856, 0.0], [16.56177345998912, 0.0], [16.252743617617305, 0.0], [16.82837700106579, 0.0], [0.7080373648332408, 0.0]]]","[(0, 1), (0, 9), (0, 8), (0, 7), (0, 6), (0, 5), (1, 9), (1, 8), (1, 7), (1, 6), (1, 5), (2, 3), (2, 6), (2, 7), (2, 9), (2, 8), (2, 5), (3, 6), (3, 7), (3, 9), (3, 8), (3, 5), (4, 5), (3, 4), (4, 8), (2, 4), (4, 9), (0, 4), (5, 8), (5, 9), (6, 7), (6, 9), (6, 8), (7, 9), (7, 8), (8, 9)]",[0],[-159.60058098026175],[0],[0],10
H_sim_30_by_30_5_1,"[[[5.69599, 9.83865, -13.56006, 1, 1, 0, 1], [5.88449, 10.23105, -13.00176, 1, 1, 0, 1], [-5.01731, -14.11635, 3.30264, 1, 1, 0, 1], [-5.33291, -13.71765, 2.81004, 1, 1, 0, 1], [-1.66941, 7.93915, 11.77054, 1, 1, 0, 1], [-2.14051, 7.41165, 11.73884, 1, 1, 0, 1], [1.73519, -8.98035, -0.92026, 1, 1, 0, 1], [1.73669, -9.68365, -0.83866, 1, 1, 0, 1], [-0.36061, 5.20675, -0.73896, 1, 1, 0, 1], [-0.53161, 5.87075, -0.56236, 1, 1, 0, 1]]]","[[[0.7079610865012281, 0.0], [14.91702069382489, 0.0], [14.948827293804689, 0.0], [23.013197119913606, 0.0], [23.63536062216949, 0.0], [26.447996403697577, 0.0], [14.64995318559073, 0.0], [14.660055513537458, 0.0], [23.070700524691485, 0.0], [23.70106585240419, 0.0], [25.99963573033284, 0.0], [0.7079687916850571, 0.0], [9.078309918701828, 0.0], [9.476689119096395, 0.0], [20.28303673171254, 0.0], [20.845716488046172, 0.0], [23.30021958437302, 0.0], [8.919944610254035, 0.0], [9.290596697198733, 0.0], [19.88597706048159, 0.0], [20.448251221314745, 0.0], [23.15949493598684, 0.0], [0.7079522229642334, 0.0], [12.556802531297528, 0.0], [12.871152141513983, 0.0], [21.422352486363398, 0.0], [21.935280296590694, 0.0], [23.721905040278703, 0.0], [12.501298071000466, 0.0], [12.795511746702434, 0.0], [21.070631867601882, 0.0], [21.574880490514893, 0.0], [0.708019561876648, 0.0], [14.342212302849237, 0.0], [15.027363237108498, 0.0], [15.037706591764582, 0.0], [15.721351275892285, 0.0], [0.7080427670698992, 0.0]]]","[(0, 1), (0, 8), (0, 9), (0, 6), (0, 7), (0, 4), (1, 8), (1, 9), (1, 6), (1, 7), (1, 4), (2, 3), (2, 7), (2, 6), (2, 8), (2, 9), (2, 5), (3, 7), (3, 6), (3, 8), (3, 9), (3, 5), (4, 5), (4, 9), (4, 8), (4, 6), (4, 7), (3, 4), (5, 9), (5, 8), (5, 6), (5, 7), (6, 7), (6, 8), (6, 9), (7, 8), (7, 9), (8, 9)]",[0],[-159.5998675446059],[0],[0],10
H_sim_30_by_30_6_0,"[[[-6.8191916667, 4.521375, -6.172275, 1, 1, 0, 1], [-7.2035916667, 4.562275, -6.765475, 1, 1, 0, 1], [-1.9484916667, 3.247575, -6.362175, 1, 1, 0, 1], [-1.6129916667, 3.040275, -5.774175, 1, 1, 0, 1], [-8.1896916667, 0.836275, 10.164625, 1, 1, 0, 1], [-7.9425916667, 0.874775, 9.502225, 1, 1, 0, 1], [12.3248083333, -10.832925, -4.628875, 1, 1, 0, 1], [12.9667083333, -10.824325, -4.927375, 1, 1, 0, 1], [3.4592083333, 2.109475, 3.751425, 1, 1, 0, 1], [3.7277083333, 1.678575, 3.257925, 1, 1, 0, 1], [0.7344083333, 0.331575, 3.648125, 1, 1, 0, 1], [0.5037083333, 0.455075, 4.306025, 1, 1, 0, 1]]]","[[[0.708041248798402, 0.0], [5.038089612144667, 0.0], [5.427398940560755, 0.0], [13.078667866415142, 0.0], [13.414709500768177, 0.0], [14.430775567861902, 0.0], [5.432049612255028, 0.0], [5.87826233252651, 0.0], [13.76058615939016, 0.0], [14.101406929097536, 0.0], [15.108858095170529, 0.0], [0.7080095620823212, 0.0], [10.766016649624873, 0.0], [11.279509362113231, 0.0], [11.296983328747546, 0.0], [10.081025728565521, 0.0], [10.580932557671842, 0.0], [10.61951552426004, 0.0], [0.70803560644928, 0.0], [10.490172112982703, 0.0], [11.061602738753548, 0.0], [13.358407228782928, 0.0], [13.79986945373035, 0.0], [16.803348888540047, 0.0], [9.925554202159192, 0.0], [10.481215676151312, 0.0], [12.829545119371925, 0.0], [13.260214139296545, 0.0], [16.132255557422834, 0.0], [0.7079631487584642, 0.0], [17.106997834219772, 0.0], [17.785781096426437, 0.0], [18.09674449756088, 0.0], [18.627661882802144, 0.0], [19.69872227252316, 0.0], [17.56931317667256, 0.0], [18.24821383396194, 0.0], [18.644636449928438, 0.0], [19.178292648721364, 0.0], [20.137324933813826, 0.0], [0.7080319978645031, 0.0], [3.2551704010696585, 0.0], [3.4321423003715914, 0.0], [10.831927660393601, 0.0], [11.524903290700534, 0.0], [3.305527178832447, 0.0], [3.60411457365051, 0.0], [0.7080304725080696, 0.0]]]","[(0, 1), (0, 2), (0, 3), (0, 10), (0, 11), (0, 9), (1, 2), (1, 3), (1, 10), (1, 11), (1, 9), (2, 3), (2, 10), (2, 9), (2, 11), (3, 10), (3, 9), (3, 11), (4, 5), (4, 11), (4, 10), (4, 8), (4, 9), (0, 4), (5, 11), (5, 10), (5, 8), (5, 9), (0, 5), (6, 7), (6, 9), (6, 8), (6, 10), (6, 11), (3, 6), (7, 9), (7, 8), (7, 10), (7, 11), (3, 7), (8, 9), (8, 10), (8, 11), (3, 8), (2, 8), (9, 10), (9, 11), (10, 11)]",[0],[-191.53237503112274],[0],[0],12
H_sim_30_by_30_6_1,"[[[9.67635, -0.2867833333, -7.6597083333, 1, 1, 0, 1], [9.86145, 0.3645166667, -7.8665083333, 1, 1, 0, 1], [1.98605, 16.7964166667, 6.5491916667, 1, 1, 0, 1], [1.64745, 17.2000166667, 7.0220916667, 1, 1, 0, 1], [-2.41165, -3.7491833333, 8.8003916667, 1, 1, 0, 1], [-2.95655, -3.4705833333, 9.1562916667, 1, 1, 0, 1], [-1.28315, 1.9241166667, 7.2136916667, 1, 1, 0, 1], [-0.85925, 2.4637166667, 7.3881916667, 1, 1, 0, 1], [-1.99205, -3.5093833333, -0.9690083333, 1, 1, 0, 1], [-1.99095, -4.1969833333, -1.1374083333, 1, 1, 0, 1], [-5.92815, -11.9028833333, -14.5634083333, 1, 1, 0, 1], [-5.74955, -11.6329833333, -13.9338083333, 1, 1, 0, 1]]]","[[[0.7079688834970079, 0.0], [13.831202977687804, 0.0], [13.926806906825412, 0.0], [18.57426746927049, 0.0], [18.606900510831995, 0.0], [20.150905092823994, 0.0], [14.250897154565394, 0.0], [14.37245472492434, 0.0], [18.762886804007533, 0.0], [18.816133857942233, 0.0], [20.602316776032737, 0.0], [0.707938789726909, 0.0], [14.636459352589343, 0.0], [15.241867870441602, 0.0], [21.02326221522245, 0.0], [21.131240997395302, 0.0], [22.01531567999878, 0.0], [14.952461730096488, 0.0], [15.5556500259552, 0.0], [21.284391699083155, 0.0], [21.412791138476088, 0.0], [22.49406339059264, 0.0], [0.7079539391796618, 0.0], [5.9981215417828935, 0.0], [6.557772564674685, 0.0], [9.781346766166712, 0.0], [9.956775691457551, 0.0], [20.7133495545747, 0.0], [5.9730017922314405, 0.0], [6.53764188297279, 0.0], [10.17120768542261, 0.0], [10.364376489205705, 0.0], [0.7080322167811292, 0.0], [9.8479460168098, 0.0], [10.378329213317528, 0.0], [10.33459971600255, 0.0], [10.878029451146013, 0.0], [0.7079219801644814, 0.0], [0.7079125157814343, 0.0], [15.973099719528454, 0.0], [16.45452633228924, 0.0], [20.642075311121214, 0.0], [21.086702931705563, 0.0], [24.994314281052, 0.0], [15.269873048588192, 0.0], [15.754292184988826, 0.0], [24.292791698156062, 0.0]]]","[(0, 1), (0, 8), (0, 9), (0, 7), (0, 6), (0, 11), (1, 8), (1, 9), (1, 7), (1, 6), (1, 11), (2, 3), (2, 7), (2, 6), (2, 5), (2, 4), (2, 8), (3, 7), (3, 6), (3, 5), (3, 4), (3, 8), (4, 5), (4, 6), (4, 7), (4, 8), (4, 9), (0, 4), (5, 6), (5, 7), (5, 8), (5, 9), (6, 7), (6, 8), (6, 9), (7, 8), (7, 9), (8, 9), (10, 11), (9, 10), (8, 10), (0, 10), (1, 10), (4, 10), (9, 11), (8, 11), (4, 11)]",[0],[-191.53058150185666],[0],[0],12
H_sim_30_by_30_7_0,"[[[-2.9223285714, -3.4859142857, -13.0906, 1, 1, 0, 1], [-3.3403285714, -2.9220142857, -13.1829, 1, 1, 0, 1], [1.5305714286, -8.5861142857, 8.3867, 1, 1, 0, 1], [0.8942714286, -8.3783142857, 8.1558, 1, 1, 0, 1], [11.2837714286, 9.1913857143, 5.6241, 1, 1, 0, 1], [11.8454714286, 9.2309857143, 5.195, 1, 1, 0, 1], [-1.2237285714, 3.4725857143, 2.7618, 1, 1, 0, 1], [-1.0824285714, 3.1803857143, 2.1326, 1, 1, 0, 1], [-8.3256285714, -0.5562142857, -11.3509, 1, 1, 0, 1], [-8.6363285714, 0.0194857143, -11.6218, 1, 1, 0, 1], [6.3746714286, -8.6265142857, 0.6029, 1, 1, 0, 1], [7.0786714286, -8.6085142857, 0.6753, 1, 1, 0, 1], [-6.9490285714, 8.0652857143, 8.1388, 1, 1, 0, 1], [-6.5276285714, 8.0034857143, 7.5732, 1, 1, 0, 1]]]","[[[0.7079735164538289, 0.0], [6.387906470041651, 0.0], [6.862579587880931, 0.0], [16.72036500618333, 0.0], [17.331241144534342, 0.0], [17.395532471585916, 0.0], [5.814331408683202, 0.0], [6.255962872332283, 0.0], [16.64037074166318, 0.0], [17.309083245799012, 0.0], [17.803674533365296, 0.0], [0.7080772133037473, 0.0], [9.16812300364693, 0.0], [9.499873963900784, 0.0], [13.579103728155257, 0.0], [13.588153450340487, 0.0], [18.461072494576257, 0.0], [9.335024681809898, 0.0], [9.708639227512782, 0.0], [13.182936957294455, 0.0], [13.191853198470637, 0.0], [17.994093297801918, 0.0], [0.7079561144590815, 0.0], [14.047597338335123, 0.0], [14.18610572673135, 0.0], [17.95706176355141, 0.0], [18.439815973593664, 0.0], [18.94755729533493, 0.0], [14.487360747907122, 0.0], [14.598583922079564, 0.0], [18.56699747131991, 0.0], [19.010466343043774, 0.0], [19.059329609931194, 0.0], [0.7079824644721083, 0.0], [8.474076939702636, 0.0], [9.098575843504301, 0.0], [9.083646019633305, 0.0], [9.713582346899624, 0.0], [14.04817461843353, 0.0], [0.7080619958732434, 0.0], [15.755345062866759, 0.0], [16.30449368548438, 0.0], [20.594219980858707, 0.0], [16.007379966128124, 0.0], [16.545648592001463, 0.0], [20.89590621844384, 0.0], [0.7079419185215688, 0.0], [14.4493858893726, 0.0], [14.411989443168489, 0.0], [14.806630447877058, 0.0], [17.7696661355806, 0.0], [0.7080258187382718, 0.0], [18.218386999128107, 0.0], [18.68780866046097, 0.0]]]","[(0, 1), (0, 8), (0, 9), (0, 7), (0, 10), (0, 6), (1, 8), (1, 9), (1, 7), (1, 6), (1, 10), (2, 3), (2, 10), (2, 11), (2, 7), (2, 6), (2, 13), (3, 10), (3, 11), (3, 7), (3, 6), (3, 13), (4, 5), (4, 6), (4, 7), (4, 13), (4, 12), (4, 11), (5, 6), (5, 7), (5, 13), (5, 11), (5, 12), (6, 7), (6, 13), (6, 12), (7, 13), (7, 12), (7, 10), (8, 9), (7, 8), (6, 8), (8, 10), (7, 9), (6, 9), (9, 13), (10, 11), (6, 10), (7, 11), (6, 11), (0, 11), (12, 13), (3, 12), (2, 12)]",[0],[-223.46343826253778],[0],[0],14
H_sim_30_by_30_7_1,"[[[0.2272928571, -20.6978642857, 0.3367071429, 1, 1, 0, 1], [0.3674928571, -20.1517642857, 0.7649071429, 1, 1, 0, 1], [-8.6209071429, 4.6740357143, -5.5405928571, 1, 1, 0, 1], [-9.0570071429, 4.2814357143, -5.9367928571, 1, 1, 0, 1], [-7.4743071429, 8.4038357143, 1.9967071429, 1, 1, 0, 1], [-8.0630071429, 8.6978357143, 1.7355071429, 1, 1, 0, 1], [1.6019928571, 7.5480357143, 9.2914071429, 1, 1, 0, 1], [1.4479928571, 6.8734357143, 9.1416071429, 1, 1, 0, 1], [-1.3788071429, 2.8629357143, 4.1988071429, 1, 1, 0, 1], [-0.8988071429, 3.3026357143, 4.4773071429, 1, 1, 0, 1], [4.4666928571, 1.0666357143, -2.3665928571, 1, 1, 0, 1], [4.6134928571, 0.4140357143, -2.1343928571, 1, 1, 0, 1], [11.6362928571, -3.5794642857, -7.7408928571, 1, 1, 0, 1], [11.1315928571, -3.6957642857, -8.2236928571, 1, 1, 0, 1]]]","[[[0.7079805717673325, 0.0], [21.703856967368726, 0.0], [21.937538856033964, 0.0], [22.10096199987684, 0.0], [22.337721537793417, 0.0], [23.929201203968343, 0.0], [21.19874020148367, 0.0], [21.62083982573295, 0.0], [21.770981015333234, 0.0], [21.83644273800108, 0.0], [23.334901949440457, 0.0], [0.7080200632750463, 0.0], [8.333297670190355, 0.0], [8.487460803444101, 0.0], [12.271267578371845, 0.0], [12.722809704621067, 0.0], [13.941767625376633, 0.0], [8.908244060980817, 0.0], [9.079622420563533, 0.0], [12.7944239749197, 0.0], [13.265283845059631, 0.0], [14.351715185649415, 0.0], [0.7079753738655042, 0.0], [8.526777672133829, 0.0], [8.684055391923751, 0.0], [11.532526065871258, 0.0], [9.208280759186268, 0.0], [9.378241408707712, 0.0], [12.191713315609089, 0.0], [0.7079838981219841, 0.0], [6.888612386395391, 0.0], [7.534580639292409, 0.0], [11.675798191986704, 0.0], [12.321764883733174, 0.0], [13.642727588352706, 0.0], [6.325644423297914, 0.0], [6.964637846291795, 0.0], [13.238963070044422, 0.0], [0.7080242509970971, 0.0], [8.972237240510307, 0.0], [9.056168767199516, 0.0], [8.979267980186357, 0.0], [9.07986994069849, 0.0], [0.7080634434851161, 0.0], [10.07010259034137, 0.0], [10.093191262430333, 0.0], [9.821184151618377, 0.0], [9.83364654337342, 0.0], [13.375066901141093, 0.0], [0.7080562265809127, 0.0], [18.8003665352567, 0.0], [18.80894584127457, 0.0], [18.810772448254216, 0.0], [18.842068031933227, 0.0], [21.619755639229595, 0.0]]]","[(0, 1), (0, 11), (0, 13), (0, 12), (0, 10), (0, 8), (1, 11), (1, 13), (1, 12), (1, 10), (1, 8), (2, 3), (2, 5), (2, 4), (2, 8), (2, 9), (2, 10), (3, 5), (3, 4), (3, 8), (3, 9), (3, 10), (4, 5), (4, 8), (4, 9), (4, 7), (5, 8), (5, 9), (5, 7), (6, 7), (6, 9), (6, 8), (4, 6), (5, 6), (6, 10), (7, 9), (7, 8), (7, 10), (8, 9), (8, 10), (8, 11), (9, 10), (9, 11), (10, 11), (10, 13), (10, 12), (11, 13), (11, 12), (7, 11), (12, 13), (8, 12), (9, 12), (8, 13), (9, 13), (2, 13)]",[0],[-223.46704246591787],[0],[0],14
H_sim_30_by_30_8_0,"[[[15.8038375, 2.6466125, 1.60709375, 1, 1, 0, 1], [15.4816375, 3.2316125, 1.84209375, 1, 1, 0, 1], [-5.6191625, 4.2507125, -10.09630625, 1, 1, 0, 1], [-5.8997625, 4.1088125, -10.73060625, 1, 1, 0, 1], [2.3303375, -5.2808875, 5.20039375, 1, 1, 0, 1], [2.6890375, -5.6750875, 5.66659375, 1, 1, 0, 1], [4.9356375, -4.4142875, -13.11570625, 1, 1, 0, 1], [4.7025375, -5.0806875, -13.06280625, 1, 1, 0, 1], [-13.5055625, -3.9038875, -1.74040625, 1, 1, 0, 1], [-13.7782625, -3.7364875, -1.10880625, 1, 1, 0, 1], [-8.4489625, 14.5427125, 14.00969375, 1, 1, 0, 1], [-8.5140625, 15.0398125, 14.50949375, 1, 1, 0, 1], [11.5357375, -3.4489875, -0.26110625, 1, 1, 0, 1], [11.2299375, -3.0130875, -0.72770625, 1, 1, 0, 1], [-6.3101625, -4.4216875, 3.77069375, 1, 1, 0, 1], [-6.6327625, -4.8451875, 4.23739375, 1, 1, 0, 1]]]","[[[0.7079991807904872, 0.0], [7.642254663383052, 0.0], [7.672234890173788, 0.0], [16.040332396493536, 0.0], [16.05391572732335, 0.0], [19.614660840554954, 0.0], [7.979793419631863, 0.0], [8.038904988243113, 0.0], [16.021782885496858, 0.0], [16.050131460520813, 0.0], [19.834658647176163, 0.0], [0.7079607757496169, 0.0], [13.985807248779027, 0.0], [14.089495055891819, 0.0], [14.227179590488058, 0.0], [14.530706551988446, 0.0], [16.37014635731764, 0.0], [13.990633608954242, 0.0], [14.223038788528982, 0.0], [14.243428343274664, 0.0], [14.703691018924465, 0.0], [16.829306584051526, 0.0], [0.7080972885133788, 0.0], [8.800028805634673, 0.0], [9.025207205377614, 0.0], [10.859246245481312, 0.0], [10.931064294477459, 0.0], [9.28175893944677, 0.0], [9.467169687398657, 0.0], [10.879211800034046, 0.0], [10.996376189454415, 0.0], [0.7079710304807673, 0.0], [13.965819629724566, 0.0], [14.482191314162371, 0.0], [18.520747902285155, 0.0], [14.10803361670222, 0.0], [14.602691191009963, 0.0], [18.417705805012737, 0.0], [0.7080300911684476, 0.0], [9.078222359581197, 0.0], [9.157265878525097, 0.0], [17.344929012538508, 0.0], [8.947152446449094, 0.0], [8.992732642528631, 0.0], [17.368885109873922, 0.0], [0.7079169866587467, 0.0], [21.657794296742225, 0.0], [21.78731502824522, 0.0], [24.22338110049875, 0.0], [24.312540660737206, 0.0], [24.544282398350944, 0.0], [22.33671826611958, 0.0], [22.460377403329623, 0.0], [24.843333163245227, 0.0], [24.98384554507172, 0.0], [25.155782874520124, 0.0], [0.707981645242304, 0.0], [0.7079773301455351, 0.0], [17.00640283716695, 0.0]]]","[(0, 1), (0, 13), (0, 12), (0, 4), (0, 5), (0, 6), (1, 13), (1, 12), (1, 4), (1, 5), (1, 6), (2, 3), (2, 6), (2, 8), (2, 7), (2, 9), (2, 14), (3, 6), (3, 7), (3, 8), (3, 9), (3, 14), (4, 5), (4, 14), (4, 15), (4, 12), (4, 13), (5, 14), (5, 15), (5, 12), (5, 13), (6, 7), (6, 13), (6, 12), (4, 6), (7, 13), (7, 12), (4, 7), (8, 9), (8, 14), (8, 15), (4, 8), (9, 14), (9, 15), (4, 9), (10, 11), (10, 14), (10, 15), (4, 10), (9, 10), (5, 10), (11, 14), (11, 15), (4, 11), (9, 11), (5, 11), (12, 13), (14, 15), (2, 15)]",[0],[-255.38822672616803],[0],[0],16
